openalex_id,doi,pmid,title,publication_year,abstract,abstract_chars,abstract_source,abstract_word_count,concepts,topics,mesh_headings,mesh_species,pub_types,is_primary_research,species_mesh,chemicals,model_mesh,qualifiers,mesh_major
https://openalex.org/W4416782254,https://doi.org/10.1038/s44161-025-00754-7,41315745,Modeling HFpEF in animals,2025,,0,,0,Medicine:0.559; Heart failure:0.4852; Heart failure with preserved ejection fraction:0.4324; Cardiology:0.4169; Internal medicine:0.343; Current (fluid):0.2962; Computer science:0.2846; Animal model:0.2791; Disease:0.2613; Computational model:0.2478,Cardiac electrophysiology and arrhythmias:0.0933; Cardiac Fibrosis and Remodeling:0.0867; Neonatal Respiratory Health Research:0.0712,,,Journal Article,True,,,,,
https://openalex.org/W4414494582,https://doi.org/10.1093/cvr/cvaf174,40997162,Defining HFpEF in rodents: a systematic review,2025,"AIMS: Heart failure (HF) with preserved ejection fraction (HFpEF) has become the most diagnosed HF subtype representing a major public health burden with poor clinical outcome. Available treatment options for HFpEF are limited; hence, more in-depth basic/translational research is needed to identify novel therapeutic targets. Preclinical investigations frequently rely on mice and rat models of HFpEF, yet their phenotypic accuracy is often not sufficiently verified. Here, we explore the extent to which rodent models labelled as 'HFpEF' reflect clinical diagnostic guidelines. We hypothesized that many basic/translational research articles use the term 'HFpEF' for rodent models, though the extent to which they demonstrate HFpEF signs and symptoms according to clinical definitions may be limited. METHODS AND RESULTS: Using the PubMed database, we identified N = 475 studies using animal models of HFpEF that were published between 2008 and 2023. After exclusion of non-original research articles, articles using animal species other than mice or rats, and articles which did not claim the label 'HFpEF', N = 407 studies remained and were evaluated, featuring a total of N = 317 experimental groups labelled as 'HFpEF'. Based on predefined diagnostic clusters derived from the HF guidelines of the European Society of Cardiology, we found that 57% of these experimental groups (N = 179) presented with the recommended level of evidence to support the use of the label 'HFpEF'. More recent publication dates and higher journal impact factors were positively associated with HFpEF probability. CONCLUSION: Despite many original articles labelling mouse and rat models as 'HFpEF', approximately two out of five studies fail to provide sufficient evidence to back this claim. Hence, caution is advised when interpreting mechanistic or interventional findings from studies involving rodent HFpEF models, and phenotypic documentation should be thoroughly assessed by readers and reviewers prior to drawing conclusions on the pathophysiology or treatment of HFpEF.",2063,pubmed,304,Medicine:0.738; Intensive care medicine:0.5417; MEDLINE:0.4515; Documentation:0.4457; Cardiology:0.3767; Pathophysiology:0.3483; Heart failure with preserved ejection fraction:0.3367; Disease:0.3186; Heart failure:0.3113; Bioinformatics:0.2938; Internal medicine:0.2834; Pathology:0.2667; Neuroscience:0.2631,Cardiovascular Function and Risk Factors:0.6408; Heart Failure Treatment and Management:0.2065; Cardiac electrophysiology and arrhythmias:0.0507,"Animals; Heart Failure; Disease Models, Animal; Stroke Volume; Ventricular Function, Left; Rats; Mice; Predictive Value of Tests; Species Specificity; Terminology as Topic; Phenotype; Prognosis",Rats; Mice,Journal Article; Systematic Review,False,Rats; Mice,,"Disease Models, Animal",Heart Failure/physiopathology; Heart Failure/diagnosis; Heart Failure/classification,"Heart Failure; Stroke Volume; Ventricular Function, Left; Terminology as Topic"
https://openalex.org/W7166467284,https://doi.org/10.1093/ejhf/xuag193.493,,Low-intensity exercise modulates skeletal muscle in a HFpEF animal model,2026,"Abstract Introduction Heart failure with preserved ejection fraction (HFpEF) affects approximately 50% of patients with heart failure (HF), shows increasing prevalence with population aging, and lacks effective therapeutic options. Its diagnosis is challenging due to the nonspecific nature of symptoms and the presence of multiple comorbidities. One of the cardinal features of HFpEF is reduced exercise tolerance, which correlates with poorer quality of life and adverse prognosis. Paradoxically, regular physical exercise has been shown to improve cardiorespiratory fitness and quality of life in patients with HFpEF. The underlying mechanisms are not yet fully understood; however, a central role has been attributed to exercise-induced changes in skeletal muscle. Objective To study the impact of a low-intensity physical exercise program on morphological and biochemical alterations of skeletal muscle in an animal model of HFpEF. Materials and Methods Ten obese ZSF1 rats (Ob) (age = 15 weeks) were randomly divided into a sedentary obese group (ObSED, n = 5; remained sedentary in their cages) and an exercise obese group (ObEX, n = 5; subjected to a training protocol for 5 weeks, 5 days/week, 60 min/day, at 20 m/min). Additionally, four lean ZSF1 rats (Lean, n = 4) were included as pathological controls. At the end of the protocol (20th week), all animals underwent a maximal oxygen consumption (VO₂max) test, were euthanized, and soleus muscle samples were collected for histological and biochemical analysis. Results We found that animals in the ObSED group exhibited a significant reduction in the cross-sectional area of the soleus muscle (P < 0.05 vs. Lean), and that physical exercise was able to reverse this alteration in the ObEX group (P < 0.05 vs. ObSED). Regarding fibrosis, an increase in its levels was observed in the ObSED group (P < 0.05 vs. Lean), and once again exercise was able to reverse/prevent this increase (P < 0.05 vs. ObSED). No statistically significant differences were observed among the groups in the expression of proteins involved in hypertrophy (AKT, ERK1, and ERK2) and cell death (Bcl-xL). The ObEX group demonstrated a tendency toward increased phosphorylation of MyBP-C and reduced phosphorylation of TnI. Conclusion The results suggest that regular physical exercise reverses muscle atrophy associated with HFpEF. These structural changes in skeletal muscle may account for the increase in arteriovenous oxygen difference (A–VO₂) in animals with HFpEF, potentially complementing the explanation for the increase in peak VO₂ observed in patients with HFpEF.For image description, please refer to the figure legend and surrounding text.For image description, please refer to the figure legend and surrounding text.",2765,openalex,419,Medicine:0.8969; Cardiorespiratory fitness:0.8211; Heart failure:0.8072; Skeletal muscle:0.7686; Cardiology:0.6342; Internal medicine:0.6313; Exercise intolerance:0.5533; Ejection fraction:0.5287; Population:0.4759; Heart failure with preserved ejection fraction:0.4476; Pathological:0.4173; VO2 max:0.3869; Sedentary lifestyle:0.3857; Physical exercise:0.382; Endocrinology:0.3583; Heart rate:0.3538; Animal studies:0.3411; Soleus muscle:0.3411; Exercise physiology:0.3132; Physical activity:0.3097; Animal model:0.3049; Quality of life (healthcare):0.2927; Sarcopenia:0.2887; Physical therapy:0.2817; Obesity:0.2636; Muscle hypertrophy:0.2602; Pathophysiology:0.258; Adverse effect:0.2557; Myofibril:0.2516,Cardiovascular Function and Risk Factors:0.9108; Cardiovascular and exercise physiology:0.0379; Cardiac Fibrosis and Remodeling:0.0214,,,,,,,,,
https://openalex.org/W4416665145,https://doi.org/10.1101/2025.11.21.689863,41332571,Myeloid cell recruitment propels right ventricular dysfunction in HFpEF via sterile inflammation,2025,"BACKGROUND: In contrast to what has already been shown in HFpEF associated left ventricular (LV) diastolic dysfunction, leukocytes' role in frequently occurring right ventricular dysfunction (RVD) secondary to HFpEF are so far missing, partially due to the lack of suitable small animal models. Here, we follow a translational research approach by establishing a murine HFpEF model developing manifest RVD and analyzed human HFpEF cohorts to study the mechanistic link between leukocytes and RVD in HFpEF. METHODS: 8-week-old male and female C57BL/6J or Cx3cr1 CreER /+R26 tdTomato/+ mice were divided into four experimental groups: i) chow, ii) HFpEF (N[ω]-nitro-l-arginine methyl ester (L-NAME), 60% high-fat diet), iii) chronic hypoxia (10% O2) and iv) HFpEF and hypoxia (RV-HFpEF) to assess bi-ventricular function and myeloid cell dynamics. To test whether myeloid cells are causally involved in the development of RV remodeling in HFpEF, we additionally treated RV-HFpEF mice with the colony stimulating factor 1 receptor inhibitor PLX-5622 (PLX) to deplete myeloid cells. After 12 weeks, all experimental groups were subjected to transthoracic echocardiography, invasive hemodynamics or flow cytometry. RESULTS: RV-HFpEF resulted in LV diastolic dysfunction indicated by increased E/E' ratio, reduced global longitudinal peak strain, smaller end-diastolic diameters and increased isovolumetric relaxation time compared to chow. RV-HFpEF animals developed RV hypertrophy and RVD evident as increased Fulton's index and collagen content as well as elevated RV systolic pressures (RVSPs) and reduced tricuspid annular plane systolic excursion, respectively. Flow cytometric analyses revealed elevated total leukocyte, monocyte, and macrophage counts in RV tissue of RV-HFpEF compared to chow or LV tissue from RV-HFpEF animals. These data were confirmed by unbiased proteomic analyses of RV tissue from RV-HFpEF mice, demonstrating increased abundance of proteins involved in activation of the innate immune system, macrophage chemotaxis, cell adhesion and extracellular matrix organization when compared to LV tissue or other experimental groups. Fate mapping experiments revealed that recruited monocyte-derived macrophages became the main source of total cardiac macrophages in RV tissue from RV-HFpEF mice. Depletion of myeloid cells was associated with rescued RVSP profiles compared to RV-HFpEF control mice. In HFpEF patients, RV dilation was associated with an increased percentage of circulating monocytes. In RV biopsies from HFpEF patients, we found increased expression of adhesion molecules, fibrotic markers and inflammatory transcripts. CONCLUSION: We demonstrate that dysregulated myeloid cell dynamics are associated with, and directly contribute to, the pathogenesis of HFpEF-associated RVD in humans and mice.",2832,pubmed,395,Medicine:0.7712; Pathogenesis:0.6426; Inflammation:0.6201; Myeloid:0.5111; Cardiology:0.4748; Myeloid cells:0.4692; Internal medicine:0.4691; Cell:0.4414; Disease:0.4205; Heart failure:0.3508; Pulmonary hypertension:0.2818; Cardiomyopathy:0.2644,Neonatal Respiratory Health Research:0.1031; Cardiac Fibrosis and Remodeling:0.0726; Cardiovascular Function and Risk Factors:0.0588,,,Journal Article; Preprint,True,,,,,
https://openalex.org/W4414264087,https://doi.org/10.1152/ajpheart.00548.2025,40953188,"When in doubt, pig it out: a versatile translational platform to study CKD, HFpEF, and CKM syndrome",2025,"Chronic kidney disease (CKD), heart failure with preserved ejection fraction (HFpEF), and the recently defined cardiovascular-kidney-metabolic (CKM) syndrome are important challenges for the health care system, associated with a staggering increase in morbidity and mortality rates. Unfortunately, the complex pathophysiology of these processes remains to be fully elucidated, imposing hurdles to prevent their development and decelerate their progression. Large animal models are critical for understanding cardio-renal pathophysiology and for the discovery of new therapies. Among them, pig models offer significant translational power to grasp cardio-renal pathophysiology and to test the feasibility and efficacy of new strategies. We recently developed and characterized swine models of CKD, HFpEF, and CKM syndrome that closely recapitulate human disease and allow for the study of the impact of biological variables, such as sex or age, on these conditions. Furthermore, data from these studies revealed key mechanisms implicated in the pathogenesis of CKD, HFpEF, and CKM syndrome and identified potential targets for intervention. This focused mini review highlights the main features of these novel swine models and discusses ongoing and future research aimed at developing novel therapies.",1300,pubmed,181,Medicine:0.6108; Translational research:0.54; Disease:0.5383; Pathophysiology:0.4506; Intensive care medicine:0.4164; Bioinformatics:0.3863; Human disease:0.3584; Complex disease:0.3481; Heart failure:0.3227; Basic research:0.318; Animal model:0.3166; Computational biology:0.3092; Organ system:0.3003; Translational science:0.2886; Kidney disease:0.2881; Neuroscience:0.2862; Human studies:0.2645; Key (lock):0.2546,Pharmacology and Obesity Treatment:0.4069,"Animals; Disease Models, Animal; Swine; Humans; Renal Insufficiency, Chronic; Stroke Volume; Cardio-Renal Syndrome; Heart Failure; Kidney; Metabolic Syndrome; Translational Research, Biomedical",Swine; Humans,"Journal Article; Review; Research Support, N.I.H., Extramural",False,Swine; Humans,,"Disease Models, Animal","Renal Insufficiency, Chronic/physiopathology; Renal Insufficiency, Chronic/metabolism; Renal Insufficiency, Chronic/therapy; Cardio-Renal Syndrome/physiopathology; Cardio-Renal Syndrome/metabolism; Heart Failure/physiopathology; Heart Failure/metabolism; Heart Failure/therapy; Kidney/physiopathology; Kidney/metabolism; Metabolic Syndrome/physiopathology; Metabolic Syndrome/metabolism; Metabolic Syndrome/therapy","Disease Models, Animal; Renal Insufficiency, Chronic; Stroke Volume; Cardio-Renal Syndrome; Heart Failure; Kidney; Metabolic Syndrome; Translational Research, Biomedical"
https://openalex.org/W7132852511,https://doi.org/10.1016/j.ijcard.2026.134266,41765145,Early development and SGLT2 inhibitor–mediated reversal of coronary microvascular dysfunction in an isoprenaline-induced murine HFpEF model: Insights from multimodal in vivo imaging,2026,"BACKGROUND: Coronary microvascular dysfunction (CMD) is increasingly recognized as a mechanistically relevant contributor to HFpEF, yet the temporal and causal relationship between early functional CMD, coronary microvascular endothelial barrier injury, and fibrotic remodeling remains incompletely defined. The primary aim was to test whether CMD causally contributes to HFpEF-like remodeling and functional impairment in an isoprenaline (ISO) mouse model. A secondary aim was to determine whether empagliflozin (SGLT2i) or resolvin D2 modulates inflammatory and endothelial mechanisms of CMD. METHODS: Mice received Control, ISO, ISO + empagliflozin, or ISO + resolvin D2 (n = 5-6/group). ISO (100 mg·kg-1·day-1, s.c.) was given for 5 days. On days 7, 14, and 21 we assessed LV structure/function by cine-MRI, CFR by Doppler, diastolic indices by Doppler, and endothelial permeability/NO-dependent function by dynamic contrast-enhanced MRI (gadolinium-albumin) and L-NAME T1 mapping. Treatments were given days 7-21. RESULTS: ISO caused hypertrophy with preserved ejection fraction, diastolic dysfunction, and reduced exercise capacity. Resting coronary flow increased by day 7 with preserved hyperemic flow, lowering CFR before fibrosis or endothelial barrier failure. By day 21, permeability rose with inflammatory activation, blunted NO-mediated response, and perivascular/interstitial fibrosis. Empagliflozin lowered resting flow, normalized CFR, reduced endothelial permeability and inflammatory signaling, limited fibrosis, and improved diastolic indices and LV strain. Resolvin D2 reduced inflammatory markers but did not consistently restore CFR, permeability, or diastolic indices. CONCLUSIONS: Short-term ISO causes progressive CMD, and empagliflozin reverses key CMD features, supporting direct coronary microvascular modulation as a mechanism of SGLT2i benefit in HFpEF in this animal model.",1905,pubmed,251,Medicine:0.9687; Empagliflozin:0.8445; Cardiology:0.6364; Internal medicine:0.5857; In vivo:0.5143; Heart failure with preserved ejection fraction:0.4128; Animal model:0.3331; Diabetes mellitus:0.3267; Endothelial dysfunction:0.323; Heart failure:0.3155; Mechanism (biology):0.3023; Animal studies:0.2908; Coronary circulation:0.2901; Diastole:0.2728; Microcirculation:0.2565; Type 2 diabetes:0.2551,Diabetes Treatment and Management:0.2942; Coronary Interventions and Diagnostics:0.1946; Cell Adhesion Molecules Research:0.0382,"Animals; Mice; Disease Models, Animal; Sodium-Glucose Transporter 2 Inhibitors; Isoproterenol; Male; Heart Failure; Coronary Vessels; Mice, Inbred C57BL; Multimodal Imaging; Coronary Circulation; Microvessels; Benzhydryl Compounds; Magnetic Resonance Imaging, Cine; Glucosides","Mice; Mice, Inbred C57BL",Journal Article,True,"Mice; Mice, Inbred C57BL",Sodium-Glucose Transporter 2 Inhibitors; Isoproterenol (L628TT009W); empagliflozin (HDC1R2M35U); Benzhydryl Compounds; Glucosides,"Disease Models, Animal","Sodium-Glucose Transporter 2 Inhibitors/pharmacology; Sodium-Glucose Transporter 2 Inhibitors/therapeutic use; Isoproterenol/toxicity; Heart Failure/chemically induced; Heart Failure/drug therapy; Heart Failure/diagnostic imaging; Heart Failure/physiopathology; Coronary Vessels/drug effects; Coronary Vessels/diagnostic imaging; Coronary Vessels/physiopathology; Multimodal Imaging/methods; Coronary Circulation/drug effects; Coronary Circulation/physiology; Microvessels/drug effects; Microvessels/diagnostic imaging; Microvessels/physiopathology; Benzhydryl Compounds/pharmacology; Benzhydryl Compounds/therapeutic use; Magnetic Resonance Imaging, Cine/methods; Glucosides/pharmacology; Glucosides/therapeutic use",Sodium-Glucose Transporter 2 Inhibitors; Isoproterenol; Heart Failure; Coronary Vessels; Multimodal Imaging; Coronary Circulation; Microvessels; Benzhydryl Compounds; Glucosides
https://openalex.org/W4416060610,https://doi.org/10.1093/eurheartj/ehaf784.1040,,Speckle tracking detects incipient myocardial systolic dysfunction in an experimental translational animal model of HFpEF,2025,"Abstract Introduction The development of an experimental animal model of heart failure with preserved ejection fraction (HFPEF) is of great scientific interest to explore the pathophysiological mechanisms of myocardial dysfunction in this disease. Purpose This study aimed to analyze left ventricular (LV) geometric and functional alterations in a translational model of HFpEF. Methods Rats with cafeteria diet-induced obesity and hypertension (SHR+OBS; n=23) were followed up for 40 weeks and compared with spontaneously hypertensive rats (SHR; n=23) and Wistar-Kyoto rats (WKY; n=23). Measurements were taken at three-time points (12, 32, and 40 weeks) and included body weight (BW), non-invasive blood pressure measurements (BP), fasting glucose and glucose tolerance test (GTT), functional capacity analysis, and pulmonary ultrasound (US). Cardiac geometry and function were assessed using echocardiographic and measurements of coronary flow reserve (CFR) and myocardial deformation was evaluated using the Speckle Tracking technique. At the end of the study invasive hemodynamic evaluation were carried out. The groups were compared using mixed-model ANOVA over time and post-test. Correlation tests were used as appropriate and significance was assumed if p <0.005. Results The results are presented in the table. From 32 weeks up to the end of the study, the SHR+OBS group had higher BW and BP values compared to the WKY. They also showed a delayed reduction in blood glucose after GTT compared to the other groups. There were also clinical manifestations of HF in the SHR+OBS animals, measured by reduced functional capacity in the swimming test and signs of pulmonary congestion. The cardiac phenotype of the SHR+OBS animals revealed an increase in the dimensions of the left atrium and the relative thickness of the left ventricular (LV) wall, associated with signs of LV diastolic dysfunction (increased E/e' ratio), as well as a reduction in CFR when compared to the WKY, although similar to the SHR animals. LVEF remained preserved throughout all the time the studied. However, SHR+OBS animals showed significantly reduced values of global longitudinal (GLS) and global radial (GRS) myocardial strain, which was different even from animals in the SHR group. At the end of the experiment, SHR+OBS animals also showed significantly higher values of LV filling pressures (LVFP) and the Tau constant, even when compared to SHR animals. Conclusion This translational animal model of HFpEF in hypertensive and obese rats induces geometric remodeling and myocardial dysfunction, both diastolic and incipient systolic, with impairment of GLS and GRS, although preserved LVEF.Table 1.",2688,openalex,401,Medicine:0.9452; Cardiology:0.7873; Internal medicine:0.7482; Ejection fraction:0.6308; Hemodynamics:0.5281; Animal model:0.5147; Heart failure:0.5132; Speckle tracking echocardiography:0.4735; Blood pressure:0.4371; Cardiac function curve:0.4079; Pathophysiology:0.3874; Blood flow:0.3821; Animal study:0.3736; Stroke volume:0.3713; Ultrasound:0.3692; Systole:0.3671; Pulmonary artery:0.3618; Speckle pattern:0.3257; Heart rate:0.3198; Ventricular pressure:0.3193; Contractility:0.3011; Cardiac output:0.2957; Pulmonary hypertension:0.2933; Animal studies:0.2916; Heart failure with preserved ejection fraction:0.2874; Diastole:0.2727; Analysis of variance:0.2627; Experimental animal:0.2504,Cardiovascular Function and Risk Factors:0.9826; Cardiac Fibrosis and Remodeling:0.0073; Cardiovascular Health and Disease Prevention:0.0012,,,,,,,,,
https://openalex.org/W4416397728,https://doi.org/10.1016/j.yjmcc.2025.11.005,41248801,Soluble epoxide hydrolase deficiency rescues heart failure with preserved ejection fraction by targeting cytochrome P450 2E1,2025,"BACKGROUND: Our prior clinical studies established a positive correlation between sEH activity and mortality in heart failure with preserved ejection fraction (HFpEF), the pathophysiological role of the sEH/EET axis in metabolic stress (obesity and metabolic syndrome) and mechanical stress (hypertension)-induced HFpEF remains unknown. METHODS: We elucidated the function and mechanism of sEH and EETs in 'two-hit' (high-fat diet and inhibition of constitutive nitric oxide synthase using Nω-nitrol-arginine methyl ester) HFpEF animal model. Langendorff system was applied to isolate cardiomyocytes from HFpEF mice. Recombinant adeno-associated virus type 9 was used to deliver cytochrome P450 2E1 (CYP2E1) to cardiac-specific knockout sEH HFpEF mice through the tail vein. RESULTS: sEH activity and expression were upregulated, while EETs levels were reduced in the hearts and isolated cardiomyocytes from HFpEF mice or cardiomyocyte cell lines pretreated with palmitate acid and Nω-nitrol-arginine methyl ester. Desuccinylation, a posttranslational modification of sEH (K)191, maintained the activity of sEH in HFpEF. Genetic or pharmacological inhibition of the sEH restored the levels of EETs and ameliorated HFpEF phenotype with significantly improved diastolic dysfunction and cardiac remodeling. Mechanically, sEH inhibitors (sEHIs) targeted CYP2E1, a crucial CYP450 enzyme, to inhibit reactive oxygen species (ROS) and fatty acid uptake. Overexpressing CYP2E1 abolished the protective effects of sEH inhibition in vivo. CONCLUSIONS: These findings confirmed sEH as a therapeutic target in metabolic stress and mechanical stress-induced HFpEF mice model via the cardioprotective effects of EETs, which were mediated partially by targeting CYP2E1, suggesting the development of therapeutic strategies for patients with HFpEF.",1832,pubmed,248,Epoxide hydrolase 2:0.8737; Chemistry:0.6809; Heart failure:0.5818; Heart failure with preserved ejection fraction:0.579; Cytochrome P450:0.4807; Internal medicine:0.4708; Pharmacology:0.4615; Endocrinology:0.4259; CYP2E1:0.3662; Cytochrome:0.3651; Epoxide hydrolase:0.3513; Biochemistry:0.3243; Enzyme:0.3108; Hydrolase:0.2822; Isozyme:0.2715; Cardiomyopathy:0.2653; Matrix metalloproteinase:0.2564; Ejection fraction:0.2542,Eicosanoids and Hypertension Pharmacology:0.9971; Heme Oxygenase-1 and Carbon Monoxide:0.0003; Pharmacogenetics and Drug Metabolism:0.0002,"Animals; Heart Failure; Stroke Volume; Cytochrome P-450 CYP2E1; Myocytes, Cardiac; Mice; Epoxide Hydrolases; Mice, Knockout; Disease Models, Animal; Male","Mice; Mice, Knockout",Journal Article,True,"Mice; Mice, Knockout",Cytochrome P-450 CYP2E1 (EC 1.14.13.-); Epoxide Hydrolases (EC 3.3.2.-),"Disease Models, Animal","Heart Failure/physiopathology; Heart Failure/metabolism; Heart Failure/genetics; Cytochrome P-450 CYP2E1/metabolism; Cytochrome P-450 CYP2E1/genetics; Myocytes, Cardiac/metabolism; Myocytes, Cardiac/drug effects; Myocytes, Cardiac/pathology; Epoxide Hydrolases/deficiency; Epoxide Hydrolases/metabolism; Epoxide Hydrolases/genetics",Heart Failure; Stroke Volume; Cytochrome P-450 CYP2E1; Epoxide Hydrolases
https://openalex.org/W7127587878,https://doi.org/10.1093/eurheartj/ehaf784.1238,,Beneficial effects of treatment with a soluble guanylate cyclase stimulator on cardiac function and mitochondrial activity in an animal model of early-stage HFpEF,2025,"Abstract Background Targeting cardiac mitochondrial dysfunction represents still an unmet need which could result in improved treatment of chronic heart failure in heart failure with reduce ejection fraction (HFrEF) and heart failure with preserved ejection fraction (HFpEF). The soluble guanylate cyclase (sGC) stimulator represents a novel mode of action in HFrEF treatment but its impact in HFpEF, especially on myocardial bioenergetics, has not been defined yet. Purpose We aimed to clarify the effects of sGC stimulator on cardiac function in a preclinical murine model of early-stage heart failure which also mimics parts of HFpEF phenotypes. Methods Male obese and lean Zucker fatty and spontaneously hypertensive (ZSF1) rats at 13 weeks of age were treated at 14 weeks of age for 4 weeks with the sGC stimulator given at a dose of 3 mg/kg orally (once daily) in an aqueous suspension with a syringe. Randomized groups: obese group (vehicle, mineral drinking water, n=10), lean group (vehicle, mineral drinking water, n=10) and obese sGC-treated group (n=10). At 17 weeks of age the echocardiographic evaluation was performed. The oxygen consumption rate of mitochondria from left ventricle permeabilized fibres (pfi) was performed using a high-resolution respirometer. Left ventricle tissue samples were examined under a transmission electron microscope. Results Treatment with sGC stimulator for three weeks improved diastolic function (IVRT) of the ZSF1 obese sGC-treated group compared with the obese control group but did not modify others echocardiographic parameters like EF (ejection fraction), fractional shortening or E/e' (E: early diastolic transmitral flow velocity / e': peak early-diastolic annular velocity) (Fig. 1a, 1b, 1c, 1d). The increase in mitochondrial respiration in the obese sGC-treated group was not statistically significant compared to the obese control group, although the levels achieved were similar to those observed in the lean group suggesting a normalization of mitochondrial respiration after treatment (Fig. 2a, 2b). The analysis of mitochondrial ultrastructure by electron microscopy showed a huge heterogeneity in mitochondrial cristae disintegration. We observed significant differences in the percentage of mitochondrial cristae destruction between the three experimental groups. Remarkably, the treatment with sGC stimulator partially restored the mitochondrial cristae destruction of the obese animals towards the lean condition (Fig. 3a, 3b). Conclusions We demonstrate that the treatment with the sGC stimulator elicits beneficial functional and metabolic responses at cardiac level in an animal model of HFpEF when administered at an early-stage of the disease, inducing a significant improvement of diastolic dysfunction and indicating an improvement in mitochondrial respiration ameliorating mitochondrial function by partially restoring the mitochondrial cristae destruction.Figure 1",2941,openalex,416,Medicine:0.9322; Heart failure:0.804; Ventricle:0.7937; Ejection fraction:0.7298; Internal medicine:0.6884; Cardiac function curve:0.6632; Cardiology:0.6615; Diastole:0.5168; Heart failure with preserved ejection fraction:0.4907; Vasodilation:0.4072; Endocrinology:0.3982; Stroke volume:0.3828; Cardiac output:0.3675; Heart rate:0.3485; Animal model:0.3297; Aorta:0.3155; Animal studies:0.2956; Heart disease:0.2892; Mitochondrion:0.2742; Diastolic function:0.2723; Blood pressure:0.2564; Hemodynamics:0.2543,Cardiovascular Function and Risk Factors:0.578; Cardiac Ischemia and Reperfusion:0.088; Cardiovascular and exercise physiology:0.0588,,,,,,,,,
https://openalex.org/W7134037809,https://doi.org/10.1016/j.jacasi.2025.10.014,41790101,Two-Hit Swine Model of Heart Failure With Preserved Ejection Fraction Mimics Cardiac and Systemic Pathologies,2026,"BACKGROUND: Heart failure with preserved ejection fraction (HFpEF) accounts for over 50% of heart failure cases and is associated with significant morbidity and mortality. Developing preclinical models that recapitulate the cardiac and systemic pathologies of HFpEF is critical for advancing treatment. OBJECTIVES: Large animal models offer translational relevance due to physiological similarities to humans, but few capture both cardiac and extracardiac features of HFpEF. The authors aimed to develop a swine model of HFpEF using a 2-hit intervention combining high-salt diet with infrarenal aortic banding. METHODS: Female swine were subjected to this intervention and evaluated longitudinally over 20 weeks. Echocardiography and invasive pressure-volume (PV) loop analysis assessed cardiac remodeling and diastolic dysfunction. Histopathology was performed on cardiac and extracardiac tissues, including lungs, liver, and kidneys. RESULTS: The 2-hit intervention induced a progressive HFpEF phenotype over 20 weeks, as evidenced by echocardiographic increases in left ventricular mass, wall thickness, left atrial volume, and diastolic dysfunction with preserved systolic function. PV loop analysis revealed a steeper end-diastolic PV relationship, indicating increased left ventricular stiffness and reduced compliance. Histology showed early myocardial fibrosis at 4 weeks, with atrial-to-ventricular progression of cardiomyocyte hypertrophy culminating in global cardiac hypertrophy by 20 weeks. Extracardiac findings included pulmonary and hepatic congestion with associated structural remodeling and fibrosis, and renal remodeling accompanied by elevated serum creatinine, consistent with systemic HFpEF pathophysiology. CONCLUSIONS: This novel 2-hit swine model replicates key cardiac and systemic pathologies of human HFpEF and provides a robust platform for elucidating underlying mechanisms and evaluating potential therapies.",1940,pubmed,251,Heart failure with preserved ejection fraction:0.738; Medicine:0.6466; Cardiology:0.6369; Internal medicine:0.6095; Heart failure:0.5487; Diastole:0.3301; Human heart:0.3223; Cardiac output:0.3214; Ejection fraction:0.3077; Hemodynamics:0.3064; Animal model:0.3032; Cardiac cycle:0.2814; Stroke volume:0.2563,Cardiovascular Function and Risk Factors:0.2964; Cardiac Fibrosis and Remodeling:0.2629; Heart Failure Treatment and Management:0.1041,,,Journal Article,True,,,,,
