pmid,publication_year,title,pub_types,is_primary_research,species_mesh,chemicals,model_mesh,qualifiers,mesh_major
25655080,2015,"Heart Failure with Preserved Ejection Fraction Induces Molecular, Mitochondrial, Histological, and Functional Alterations in Rat Respiratory and Limb Skeletal Muscle","Journal Article; Research Support, Non-U.S. Gov't",True,"Rats; Rats, Inbred Dahl",Myosin Light Chains; Troponin C; Catalase (EC 1.11.1.6); Superoxide Dismutase (EC 1.15.1.1); NADPH Oxidases (EC 1.6.3.-),,"Catalase/metabolism; Diaphragm/metabolism; Diaphragm/physiopathology; Exercise Tolerance/physiology; Heart Failure/metabolism; Heart Failure/physiopathology; Mitochondria, Muscle/metabolism; Muscle, Skeletal/metabolism; Muscle, Skeletal/physiopathology; Myosin Light Chains/metabolism; NADPH Oxidases/metabolism; Oxidative Stress/physiology; Stroke Volume/physiology; Superoxide Dismutase/metabolism; Troponin C/metabolism","Diaphragm/physiopathology; Heart Failure/physiopathology; Mitochondria, Muscle/metabolism; Muscle, Skeletal/physiopathology; Stroke Volume/physiology"
25897922,2015,Inflammation in HFpEF: Key or circumstantial?,Journal Article; Review,False,Humans,Biomarkers,,"Biomarkers/metabolism; Cardiac Output, Low/physiopathology; Endothelium, Vascular/physiopathology; Heart Failure/physiopathology; Inflammation/physiopathology; Stroke Volume/physiology; Ventricular Remodeling/physiology","Cardiac Output, Low/physiopathology; Heart Failure/physiopathology; Inflammation/physiopathology; Oxidative Stress; Stroke Volume/physiology"
26188021,2015,A mouse model of heart failure with preserved ejection fraction due to chronic infusion of a low subpressor dose of angiotensin II,"Journal Article; Research Support, Non-U.S. Gov't",True,Mice,Angiotensin II (11128-99-7),"Angiotensin II; Disease Models, Animal",Angiotensin II/administration & dosage; Angiotensin II/toxicity; Heart Failure/etiology; Heart Failure/pathology; Heart Failure/physiopathology,Angiotensin II/toxicity; Heart Failure/physiopathology; Stroke Volume
26229002,2015,High-intensity interval training attenuates endothelial dysfunction in a Dahl salt-sensitive rat model of heart failure with preserved ejection fraction,"Journal Article; Research Support, Non-U.S. Gov't",True,"Rats; Rats, Inbred Dahl",Sodium Chloride (451W47IQ8X); Nitric Oxide Synthase Type III (EC 1.14.13.39),,"Endothelium/metabolism; Endothelium/physiopathology; Exercise Test/methods; Exercise Tolerance/physiology; Heart Failure/metabolism; Heart Failure/physiopathology; Nitric Oxide Synthase Type III/metabolism; Physical Conditioning, Animal/physiology; Sodium Chloride/metabolism; Vascular Diseases/metabolism; Vascular Diseases/physiopathology; Vasodilation/physiology","Endothelium/physiopathology; Exercise Tolerance/physiology; Heart Failure/physiopathology; Physical Conditioning, Animal/physiology; Sodium Chloride/metabolism; Vascular Diseases/physiopathology"
26342070,2015,A porcine model of hypertensive cardiomyopathy: implications for heart failure with preserved ejection fraction,"Journal Article; Research Support, Non-U.S. Gov't",True,Swine,Connectin; Mineralocorticoids; Protein Isoforms; Superoxides (11062-77-4); Desoxycorticosterone Acetate (6E0A168OB8); Nitric Oxide Synthase (EC 1.14.13.39); Proto-Oncogene Proteins c-akt (EC 2.7.11.1),"Desoxycorticosterone Acetate; Diet, Western; Disease Models, Animal","Cardiomyopathies/etiology; Cardiomyopathies/metabolism; Cardiomyopathies/pathology; Cardiomyopathies/physiopathology; Connectin/metabolism; Desoxycorticosterone Acetate/toxicity; Dilatation, Pathologic/etiology; Dilatation, Pathologic/physiopathology; Heart Atria/physiopathology; Heart Failure/etiology; Heart Failure/metabolism; Heart Failure/pathology; Heart Failure/physiopathology; Hyperlipidemias/chemically induced; Hyperlipidemias/complications; Hypertension/chemically induced; Hypertension/complications; Hypertrophy/etiology; Hypertrophy/pathology; Hypertrophy, Left Ventricular/etiology; Hypertrophy, Left Ventricular/metabolism; Hypertrophy, Left Ventricular/pathology; Hypertrophy, Left Ventricular/physiopathology; Mineralocorticoids/toxicity; Myocytes, Cardiac/metabolism; Myocytes, Cardiac/pathology; Nitric Oxide Synthase/metabolism; Protein Isoforms/metabolism; Proto-Oncogene Proteins c-akt/metabolism; Superoxides/metabolism","Cardiomyopathies/physiopathology; Heart Failure/physiopathology; Hypertension/complications; Hypertrophy, Left Ventricular/physiopathology; Myocytes, Cardiac/pathology; Stroke Volume"
26585572,2016,Dual A1/A2B Receptor Blockade Improves Cardiac and Renal Outcomes in a Rat Model of Heart Failure with Preserved Ejection Fraction,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",True,"Rats; Rats, Zucker","Adenosine A1 Receptor Antagonists; Adenosine A2 Receptor Antagonists; BG 9928; Receptor, Adenosine A1; Receptor, Adenosine A2B; Xanthines",,"Adenosine A1 Receptor Antagonists/administration & dosage; Adenosine A2 Receptor Antagonists/administration & dosage; Heart Failure/drug therapy; Heart Failure/metabolism; Kidney/drug effects; Kidney/physiology; Receptor, Adenosine A1/metabolism; Receptor, Adenosine A2B/metabolism; Stroke Volume/drug effects; Stroke Volume/physiology; Xanthines/administration & dosage",Adenosine A1 Receptor Antagonists/administration & dosage; Adenosine A2 Receptor Antagonists/administration & dosage; Heart Failure/drug therapy; Kidney/physiology; Stroke Volume/drug effects; Xanthines/administration & dosage
26813102,2016,SIRT3–AMP-Activated Protein Kinase Activation by Nitrite and Metformin Improves Hyperglycemia and Normalizes Pulmonary Hypertension Associated With Heart Failure With Preserved Ejection Fraction,"Journal Article; Research Support, N.I.H., Extramural",True,"Humans; Mice; Mice, 129 Strain; Mice, Knockout; Rats; Rats, Zucker","Sirt3 protein, mouse; Metformin (9100L32L2N); AMP-Activated Protein Kinases (EC 2.7.11.31); Sirtuin 3 (EC 3.5.1.-); Sodium Nitrite (M0KG633D4F)",,"AMP-Activated Protein Kinases/metabolism; Enzyme Activation/drug effects; Enzyme Activation/physiology; Heart Failure/drug therapy; Heart Failure/metabolism; Hyperglycemia/drug therapy; Hyperglycemia/metabolism; Hypertension, Pulmonary/drug therapy; Hypertension, Pulmonary/metabolism; Metformin/pharmacology; Metformin/therapeutic use; Muscle, Skeletal/drug effects; Muscle, Skeletal/metabolism; Sirtuin 3/metabolism; Sodium Nitrite/pharmacology; Sodium Nitrite/therapeutic use; Stroke Volume/drug effects; Stroke Volume/physiology","AMP-Activated Protein Kinases/metabolism; Heart Failure/metabolism; Hyperglycemia/metabolism; Hypertension, Pulmonary/metabolism; Sirtuin 3/metabolism; Stroke Volume/physiology"
26936157,2016,Animal models of heart failure with preserved ejection fraction,Journal Article; Review,False,,,,,
27056881,2016,Distinct Endothelial Cell Responses in the Heart and Kidney Microvasculature Characterize the Progression of Heart Failure With Preserved Ejection Fraction in the Obese ZSF1 Rat With Cardiorenal Metabolic Syndrome,"Journal Article; Research Support, Non-U.S. Gov't",True,"Rats, Inbred WKY; Rats, Zucker",,"Disease Models, Animal","Cardio-Renal Syndrome/diagnosis; Cardio-Renal Syndrome/etiology; Cardio-Renal Syndrome/metabolism; Cardio-Renal Syndrome/physiopathology; Coronary Vessels/metabolism; Coronary Vessels/pathology; Coronary Vessels/physiopathology; Endothelial Cells/metabolism; Endothelial Cells/pathology; Glomerulonephritis/etiology; Glomerulonephritis/physiopathology; Heart Failure/diagnosis; Heart Failure/etiology; Heart Failure/physiopathology; Hypertrophy, Left Ventricular/etiology; Hypertrophy, Left Ventricular/physiopathology; Kidney/blood supply; Metabolic Syndrome/complications; Metabolic Syndrome/diagnosis; Metabolic Syndrome/metabolism; Metabolic Syndrome/physiopathology; Microvessels/metabolism; Microvessels/pathology; Microvessels/physiopathology; Proteinuria/etiology; Proteinuria/physiopathology","Cardio-Renal Syndrome/etiology; Coronary Vessels; Endothelial Cells; Heart Failure/etiology; Kidney/blood supply; Metabolic Syndrome/complications; Microvessels; Stroke Volume; Ventricular Function, Left"
27104217,2016,Cardiosphere-Derived Cells Reverse Heart Failure With Preserved Ejection Fraction in Rats by Decreasing Fibrosis and Inflammation,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",True,,,,,
