pmid,induction_method,intervention,readout,mechanism_proposed,hypothesis,future_directions,finding_direction,molecular_entities,genetic_manipulation,structured_abstract
32710530,,,development of HFpEF and skeletal muscle (SM) dysfunction,,to characterize the development of HFpEF and skeletal muscle (SM) dysfunction in ZSF1 rats over time,,not_stated,BNP; collagen,[],True
39616735,high-fat diet (HFD) and angiotensin II (AngII) infusion,MCC950,left ventricular function,,"to investigate the potential cardiac protective effects of the selective NLRP3 inhibitor MCC950, in a mouse model of HFpEF",,improved,NLRP3; MCC950; IL-18,[],False
36232292,,Empagliflozin,SKM contractility,positive effects on mitochondrial function possibly modulating SKM function,to further elucidate the impact of Empagliflozin (Empa) on: (1) SKM function and metabolism and (2) mitochondrial function in an established HFpEF rat model,,improved,Empagliflozin; Empa,[],False
28611124,"high-fat, high-salt diet in senescence-accelerated mice","high-fat, high-salt diet",vascular and cardiac function,endothelial senescence and endothelial inflammation,to investigate the role of cellular senescence in HFpEF development,Targeting endothelial senescence could be a new therapeutic avenue in HFpEF.,worsened,nitric oxide; acetyl-p53; CD31; intercellular adhesion molecule 1,[],True
25655080,high salt diet,exercise training,mitochondrial and functional impairments in both the diaphragm and soleus,exercise training prevented mitochondrial and functional impairments in both the diaphragm and soleus,"to elucidate potential molecular, mitochondrial, histological, and functional alterations induced by HFpEF in the diaphragm and soleus, while also determining the possible benefits associated with exercise training",,improved,,[],True
35301823,obesity,MyoMed-205,LV function,reduced MuRF1 content and lowered total muscle protein ubiquitination,to test the efficacy of one small molecule (MyoMed-205) in HFpEF and to describe molecular changes elicited by MyoMed-205,,improved,MuRF1; MyoMed-205,"[{""gene"": ""MuRF1"", ""alteration_type"": ""knockout"", ""detail"": null}]",True
32871009,high-fat diet (HFD) for 12 weeks combined with angiotensin II (ANGII) administered for 4 weeks via osmotic mini pumps,the GLP-1 RA liraglutide (Lira) and the SGLT2i dapagliflozin (Dapa),"cardiac function, cardiac hypertrophy, myocardial fibrosis, atrial weight, natriuretic peptide levels, and lung congestion",,"We aimed to develop a multifactorial HFpEF mouse model that closely resembles the cardiometabolic HFpEF phenotype, and evaluated the GLP-1 RA liraglutide (Lira) and the SGLT2i dapagliflozin (Dapa).",,improved,GLP-1; liraglutide; dapagliflozin,[],True
27922176,,sitagliptin,diastolic dysfunction,decreasing inflammation-related endothelial dysfunction and fibrosis,whether the DPP4 inhibitor sitagliptin affected the progression of HFpEF independently of its effects on glycaemia,,improved,DPP4; GLP-1; GLP-1 receptor; TNF-̕; IL-6; CCL2; endothelial NOS; NO,[],True
33176578,"combining the age, long-term high-fat diet, and desoxycorticosterone pivalate challenge in a mouse model",increasing ketone body availability,phenotypes,interplay of mitochondrial hyperacetylation and inflammation,to investigate the metabolic mechanisms of HFpEF and test therapeutic interventions using a novel animal model,,improved,IL; interleukin; NLPR3; β-hydroxybutyrate; acetyl-CoA; CS,[],False
30567709,transverse aortic constriction (TAC) surgery with deoxycorticosterone acetate (DOCA) supplementation,metformin,diastolic function,lowering titin-based passive stiffness,determine the therapeutic potential of metformin for improving diastolic function in a mouse model with HFpEF-like symptoms,,improved,metformin; titin; PKA,[],False
34414416,,,,,,,not_stated,,[],False
31520455,,,mitochondrial Ca 2+ handling,alterations in mitochondrial and cytosolic Ca 2+ handling,,,not_stated,MitoCam; SERCA2a; phospholamban; NADH,[],False
30004258,,,functional and histopathological alterations,,,,not_stated,leptin; periostin; α-smooth muscle actin; fibroblast activation protein; collagen,"[{""gene"": ""db"", ""alteration_type"": ""knockout"", ""detail"": null}]",False
30398289,salt-sensitive rats fed with high salt diet,chronic intermittent low-level transcutaneous vagus nerve stimulation,"cardiac inflammation, fibrosis and diastolic dysfunction",,"What is the effect of chronic intermittent low-level transcutaneous vagus nerve stimulation on cardiac inflammation, fibrosis and diastolic dysfunction in a rat model of heart failure with preserved ejection fraction?",Further studies to examine the efficacy of this novel treatment in humans are warranted.,improved,,[],False
30239232,,,,,,,not_stated,,[],False
36229816,,,,,,,not_stated,,[],True
33347612,cardiometabolic obese-HFpEF rat model,,"skeletal muscle mechanics, blood flow, microvasculature and fibre atrophy",,,,worsened,myosin,[],False
27056881,,,coronary and renal microvasculature,,we evaluated the coronary and renal microvasculature during CRMS development in obese diabetic Zucker fatty/Spontaneously hypertensive heart failure F1 hybrid (ZSF1) rats,,worsened,,[],True
33808232,,Sacubitril/Valsartan,"LV function, invasive hemodynamic measurements, vascular function of the carotid artery and skeletal muscle function",,"reveal the influence of the drug on the functionality of the myocardium, the skeletal muscle, and the vasculature in a rat model of HFpEF",,improved,Sacubitril/Valsartan,[],False
28118022,20 weeks of high-fat diet (HFD),,right ventricular (RV) and LV pressure-volume analysis,,,,not_stated,,[],False
31525070,,,left ventricular pressure-volume loop evaluation and synchronous acquisition of ascending aortic flow and pressure,"aortic media thickening, higher collagen content and collagen/elastin ratio, increased fibronectin and α-5 integrin protein expression and upregulated TGF (transforming growth factor)-β and CTGF (connective tissue growth factor) levels",to characterize central arterial remodeling and dysfunction in ZSF1 obese rats and to compare it with hypertensive ZSF1 lean and healthy Wistar-Kyoto controls,,not_stated,NO; fibronectin; α-5 integrin; TGF; CTGF,[],True
36053749,slow progressive pressure overload,,cardiopulmonary function,,,,worsened,,[],False
38534346,,leucine supplementation,SKM function,improving mitochondrial function through modulating energy transfer,we investigated the effect of leucine supplementation in both a primary and a secondary prevention approach on SKM function and factors modulating muscle function in an established HFpEF rat model.,,improved,mitofilin; Mfn-2; Fis1; miCK; UCP3; MuRF1; MAFBx,[],False
26188021,continuous infusion of low-dose angiotensin II (ATII),continuous infusion of low-dose angiotensin II,LV diastolic function,,"a continuous infusion of low-dose angiotensin II (ATII) is sufficient to induce left ventricular (LV) diastolic dysfunction and HFpEF, without increasing blood pressure or inducing LV hypertrophy or dilatation",,worsened,angiotensin II; ATII,[],False
26229002,fed 8% NaCl,high-intensity interval training (HIT),Endothelial function of the aorta,"reduced expression of eNOS, increased MMP activity, and increased AGE-modified proteins","to determine the functional and molecular alterations in the endothelium associated with HFpEF, while further assessing the effects of high-intensity interval training (HIT)",,improved,eNOS; NAD(P)H oxidase; AGE; MMP-2; MMP-9,[],False
29066440,obese cardiometabolic rat model,exercise training performed only after the development of overt HFpEF,diaphragm alterations and dysfunction,,to provide novel insight into the underlying diaphragmatic alterations that occur in HFpEF by using an obese cardiometabolic rat model and further assessed whether exercise training performed only after the development of overt HFpEF could reverse impairments,whether alternative therapeutic interventions are required to treat respiratory muscle weakness in HFpEF warrants further investigation,no_change,MuRF1; MuRF2,[],True
30031269,high-fat diet (HFD) from weaning to 6 months of age,melatonin (50 mg/kg),Diastolic function,Melatonin-mediated secretion of adipocyte-derived CTRP3 activated NF-E2-related factor 2 (Nrf2),to investigate whether melatonin attenuates obesity-related HFpEF,,improved,CTRP3; NF-E2-related factor 2; Nrf2; miR-200a,[],False
33568177,High-salt fed rats,motion-resolved ECV Multitasking CMR,Extracellular volume fraction (ECV),,,,improved,,[],False
35904190,,,,,,,not_stated,cGMP,[],False
38230889,Western diet and NO synthase inhibition,,cardiac output,"elevated left ventricular filling pressure compensated for the rigid left ventricle, preventing a critical decrease in cardiac output",inducing HFpEF in a mouse model to probe preload-dependency,,not_stated,,[],False
29055654,"aortic constriction, aorto-caval shunt, DOCA-salt hypertension, and acute sarcoplasmic reticulum dysfunction induced by thapsigargin",high resolution echocardiography,parameters of diastolic function,,,,not_stated,,[],True
33413413,metabolic syndrome-related rat model of HFpEF,sotagliflozin,LA remodeling and cellular arrhythmogenesis,possibly related to a ~ 50% increase of sodium sodium–calcium exchanger (NCX) forward-mode,We investigated the effects of chronic treatment with the dual SGLT-1&2 inhibitor sotagliflozin on left atrial (LA) remodeling and cellular arrhythmogenesis (i.e. atrial cardiomyopathy) in a metabolic syndrome-related rat model of HFpEF.,,improved,SGLT-2; SGLT-1; Fura-2; Mitotracker; Rhod-2; TMRE; H2DCF; NCX,[],True
27630136,transverse aortic constriction (TAC) surgery and deoxycorticosterone acetate (DOCA) pellet implantation,inhibition of the splicing factor RNA binding motif-20 by deleting the RNA recognition motif (RRM) through raloxifene injection in cRbm20 ΔRRM mice,LV chamber stiffness,,investigated the effects of increasing the compliance of titin in mice with diastolic dysfunction,,improved,titin; RNA binding motif-20; MerCreMer; αMHC; raloxifene; DMSO; N2BAsc,"[{""gene"": ""Rbm20"", ""alteration_type"": ""conditional_knockout"", ""detail"": ""RNA recognition motif (RRM) of one allele was floxed""}, {""gene"": ""MerCreMer"", ""alteration_type"": ""transgenic_overexpression"", ""detail"": ""under control of the \u03b1MHC promoter""}]",True
